OF,ICO,DIC,UC,PB,NS
"Komerční banka, a.s.",45317054,Skupinove_DPH,Na příkopě 969,11000 Praha,Česká republika
"IBM Česká republika, spol. s r.o.",14890992,CZ14890992,V parku 2294,14800 Praha,Česká republika
"Česká spořitelna, a.s.",45244782,Skupinove_DPH,Olbrachtova 1929,14000 Praha,Česká republika
"ČSOB Pojišťovna, a. s., člen holdingu ČSOB",45534306,Skupinove_DPH,Masarykovo náměstí 1458,53002 Pardubice,Česká republika
"Československá obchodní banka, a. s.",1350,Skupinove_DPH,Radlická 333,15000 Praha,Česká republika
"Tech Data Distribution, s.r.o.",40767701,CZ40767701,Líbalova 2348,14900 Praha,Česká republika
"J & T BANKA, a.s.",47115378,Skupinove_DPH,Pobřežní 297,18600 Praha,Česká republika
Ministerstvo obrany,60162694,CZ60162694,Tychonova 221,16000 Praha,Česká republika
Ministerstvo zemědělství,20478,CZ00020478,Těšnov 65,11000 Praha,Česká republika
Ústav zdravotnických informací a statistiky ČR,00023833,CZ00023833,Palackého náměstí 375,12800 Praha,Česká republika
